Dress_ID,Style,Price,Size,Season,SleeveLength
1006032852,Sexy,Low,Medium,Summer,sleevless
1212192089,Casual,Low,Large,Summer,Petal
1190380701,vintage,High,Large,Automn,full
966005983,Brief,Average,Large,Spring,full
876339541,cute,Low,Medium,Summer,butterfly
1068332458,bohemian,Low,Medium,Summer,sleevless
1220707172,Casual,Average,ExtraLarge,Summer,full
1219677488,Novelty,Average,free,Automn,short
1113094204,Flare,Average,free,Spring,short
985292672,bohemian,Low,free,Summer,sleevless
1117293701,party,Average,free,Summer,full
898481530,Flare,Average,free,Spring,short
957723897,sexy,Low,Medium,Winter,threequarter
749031896,vintage,Average,Medium,Summer,short
1055411544,Casual,Low,Medium,Summer,short
1162628131,Casual,Low,free,Winter,full
624314841,cute,Average,Large,spring,short
830467746,bohemian,Medium,free,Automn,full
840857118,Brief,Average,Medium,Winter,threequarter
1113221101,Sexy,Average,Medium,Automn,sleevless
861754372,Sexy,Average,Large,Automn,full
856178100,Casual,Low,Medium,Summer,sleevless
1122989777,Brief,Low,ExtraLarge,Summer,short
840516484,Sexy,Average,Small,Summer,sleevless
768517084,Sexy,Average,free,Automn,sleevless
1139843344,Sexy,Average,Medium,Automn,sleevless
1004212992,Sexy,Average,Medium,Spring,sleevless
1235426503,Casual,Low,Large,Summer,sleevless
942808364,cute,Low,free,Automn,sleevless
629131530,cute,Low,Medium,Spring,short
851945460,Casual,Average,Large,Automn,sleevless
1150275464,Casual,Low,Medium,Spring,sleevless
1026634314,Casual,Average,Large,Automn,sleevless
978773911,Brief,Average,Large,Spring,sleevless
827791337,party,High,Medium,Spring,threequarter
640823350,Casual,Low,free,Winter,full
801861988,vintage,Average,free,Winter,full
1060207186,Brief,Average,Medium,Automn,short
1054679816,party,Average,Medium,Winter,sleevless
941190190,Casual,Average,Medium,Spring,short
943844640,Brief,Average,free,Spring,sleevless
661795386,Brief,Low,Large,Automn,halfsleeve
875312593,Casual,Average,Medium,Winter,short
971387676,Casual,Low,free,Spring,sleevless
1021185637,vintage,Average,Medium,Winter,sleevless
1163826114,Sexy,Average,Medium,Winter,short
735635595,Sexy,Average,Large,Spring,threequarter
1175184188,Casual,Average,Medium,Summer,halfsleeve
679415939,Casual,Low,Medium,Summer,sleevless
884147971,Casual,Medium,Large,Winter,full
841203385,Sexy,Low,free,Summer,sleevless
1117997056,Casual,Low,free,Summer,sleevless
1160536550,Casual,Average,Large,Spring,halfsleeve
828623528,Casual,Average,free,Automn,sleevless
763708514,sexy,Average,Medium,Spring,threequarter
1153442065,Novelty,Average,Small,Winter,full
743729613,Casual,Average,Small,Winter,full
1000493051,sexy,Low,Large,Automn,sleevless
911085061,bohemian,Low,Medium,Summer,sleevless
1174854264,work,Average,Medium,Automn,sleevless
1053296757,cute,High,Medium,Spring,full
1033843327,Casual,Average,free,Spring,short
1083779666,Casual,Average,Medium,Summer,short
746255172,Casual,Average,Medium,spring,sleevless
1100974555,Sexy,Low,Small,Automn,sleevless
1019134411,Casual,Average,Medium,Automn,short
1072477320,Casual,Low,free,Summer,halfsleeve
638423913,Casual,Medium,Small,Winter,full
936425780,work,Average,Large,Summer,short
1146088956,Casual,Medium,Medium,Automn,short
864253055,bohemian,Average,free,Summer,sleevless
1210582154,sexy,Low,Medium,Spring,short
926480831,Sexy,Average,Medium,Winter,sleevless
757260823,Casual,Low,free,Spring,full
630561922,Casual,Low,Small,Automn,sleevless
734061929,Casual,Low,Large,Spring,short
842060995,Casual,Average,ExtraLarge,Winter,full
1078431253,Casual,Low,free,Spring,sleevless
939770391,Casual,Average,free,Spring,sleevless
943188872,bohemian,very-high,free,Winter,sleevless
1130994272,Casual,Low,Medium,Summer,sleevless
907117649,party,Average,Medium,Spring,sleevless
967999477,Sexy,Low,free,Spring,full
944656411,vintage,Low,Medium,Summer,short
1096779299,Casual,Average,free,Winter,halfsleeve
1036333255,Casual,low,Large,Summer,short
1065316076,Casual,Low,Small,Automn,full
995802744,Sexy,Average,Small,Automn,sleevless
1018110870,Sexy,Low,Medium,Automn,full
850586379,Brief,Average,Medium,Winter,threequarter
1169895668,Casual,Average,Large,Spring,sleevless
688966772,Casual,Average,Large,Winter,short
1194626925,OL,Medium,Medium,Winter,halfsleeve
876708804,Sexy,Low,Medium,Spring,halfsleeve
1118628066,Casual,Medium,Small,Spring,full
1027818824,Casual,Medium,Medium,Spring,threequarter
891103323,Casual,Average,Medium,Spring,sleevless
1166855026,Casual,Average,free,Winter,full
1023850025,vintage,Low,Small,Summer,short
805438829,Sexy,Low,Large,Summer,full
836788720,fashion,Average,free,Summer,full
835787654,Casual,Average,Large,Summer,short
1148457078,Casual,Low,free,Winter,halfsleeve
887476609,bohemian,Low,free,Summer,short
535968075,work,Medium,Large,Winter,short
892801580,vintage,Average,Large,Summer,short
732650169,cute,Low,Medium,Spring,short
680070369,Casual,Low,free,Automn,full
1002440915,Casual,Medium,free,Spring,sleevless
737538048,Casual,Average,Large,Automn,halfsleeve
1104450248,Sexy,Average,Large,Automn,sleevless
797673346,Casual,Low,free,Winter,sleevless
1039982741,Casual,Average,Medium,Automn,short
829087315,cute,Average,Large,Automn,sleevless
1032990258,party,Average,Medium,Spring,halfsleeve
939422280,cute,Average,Large,Winter,sleevless
974746803,Casual,Average,Large,Spring,short
1018130478,Casual,Low,Large,Automn,full
956758119,Casual,Low,free,Automn,short
903426442,sexy,Average,Large,Winter,full
861626197,work,Average,Large,Winter,short
1077015977,vintage,Average,free,Summer,sleevless
817870237,Sexy,Low,free,Spring,full
1078996836,Sexy,Low,free,Winter,sleevless
881530990,work,Average,Large,Spring,short
937046375,Casual,Average,Medium,Summer,short
870994067,cute,Low,Medium,Automn,short
893330898,Sexy,Low,free,Summer,sleevless
822053936,party,Average,free,Automn,threequarter
1059959935,Casual,Average,free,Spring,short
1197204708,Casual,Low,Medium,Summer,full
