ID,Review Date,Location,Hotel/Restaurant name,Review
rn580723559,Reviewed 4 days ago , Patong,Ao Chalong Yacht Club Restaurant,I've gone to the Yacht club with my family (wife and 6 kids) many times. It's also our go to place when we have guests in town as the view in beautiful and the food is always flawless. I've found it also to be a...More
rn577320858,Reviewed 2 weeks ago , Patong,Ao Chalong Yacht Club Restaurant,I’ve been here about six or seven times over the last three months and the food has always been good and the staff friendly and capable. The waterfront position and views over Chalong Bay make it a special place for lunch or an early dinner....More
rn576656608,Reviewed 3 weeks ago , Patong,Ao Chalong Yacht Club Restaurant,"Our host has lost his desire it seems to make this place work.
A year or so ago the food was good and we enjoyed it, now we wont be eating there again.
As a group of 6 it was really nice to all eat...More"
rn574668469,Reviewed 4 weeks ago , Patong,Ao Chalong Yacht Club Restaurant,"Pork Finle, OMG is the best !!!
Cool , Cozy restaurant And Service with the Smile :)
I love this Place"
rn573610343,Reviewed 5 weeks ago , Patong,Ao Chalong Yacht Club Restaurant,Sunday Roast recommended by a friend and well worth the journey over from Patong! Set right on the bay under a huge canvas sail this laid back restaurant is a gem of a place. The views are wonderful and the food delicious with a good...More
rn571448787,"Reviewed April 6, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,I been there many time and I always order Ceasar salad with chicken is so yummmmm And one dessert I highly recommend is Chocolate Brownnie with ice-cream OMG!! Very tasty Recommended this place Choose come and try. Xoxo
rn571148677,"Reviewed April 4, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,First time that I had the appointment with my friend there. When I arrived I was surprised with a fantastic view of Ao Chalong and sailing boad in front of me. All decorated in white and lovely garden around. Mr. Kim the owner is very...More
rn570638271,"Reviewed April 2, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"This establishment is a must for anyone spending time in Phuket. A spectacular setting complimented by great food, great staff and a welcoming atmosphere. Kim is a fantastic host with 40 years experience in the restaurant industry and an extensive knowledge of wine and cuisine...More"
rn570169055,"Reviewed April 1, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,The best Phad Thai I ever had in Phuket. We do enjoy other dishes as well when we visited this place both Thai and Western cuisines. Friendly staff with very warm welcome. Stunning view and very relaxing ambient. Love it and definitely recommend.
rn570145228,"Reviewed April 1, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"I had excellent Thai Crab Cakes, and a delicious and filling main course of Lamb with Sweet Potato Mash and finished with a Chocolate Pudding which was to die for, which tasted like molten fudge with Ice Cream. It was served by charming staff in...More"
rn569405121,"Reviewed March 28, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,This is a plain simple eatery. The scenery is nice but given overall beauty of Phuket nothing special. Serves international and Thai food with acceptable quality. But I have to say that those terrific food and restaurant photos I had seen in other reviews create...More
rn568382012,"Reviewed March 23, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"It is a perfect combination when the excellent food plus the stunning view. Before going there I thought the price would be high but i was wrong. Everything is worth. Surely, I will be the returning guest.More"
rn567614560,"Reviewed March 20, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"I frequent here with my wife and friends, can't really fault the place, great value, friendly staff and epic food! My personal favourite is the Pork Chop & Potato Gratin! The owner Kim is an all around Nice guy and the Chef, so you can...More"
rn567373252,"Reviewed March 18, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"I live in the Chalong area and visit the Yacht Club at least once a week, usually for lunch. It's location has to be the best in the area, with sweeping views of Chalong Bay and the moored yachts.
Being local, I have tried most...More"
